Type,Model,kH/s,C,M,V,W,Miner,Config,Notes (OS/TEMPS/DRIVERS/HARDWARE/FIRMWARE)
AMD GPU,"7970, MATRIX-HD7970-3GD5",710,1050,1500,,,cgminer 3.6.0,-I 13 -g 2 -w 256 --thread-concurrency 8192,i7-3820
AMD GPU,"7970, GV-R797TO-3GD",720,1040,1495,,,cgminer 3.1.1,-w 256 -g 2 -i 13 --shaders 2048 --thread-concurrency 8192,Windows 7 x64
AMD GPU,"7970, 11197-03-40G",730,1090,1695,,275,cgminer 3.1.0,-I 20 -g 1 -w 256 --thread-concurrency 40960 --gpu-powertune 20,BAMT
AMD GPU,"7970, GV-R797OC-3GD",735,1060,1500,1.170 Y,,cgminer 2.11.4,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Xubuntu 12.4 x64, 69C, 3.2.0-52-generic, i3-3240 3.40GHz, 8GB RAM"
AMD GPU,"7970, R7970 Lightning BE",734,1050,1700,,,cgminer 3.1.0,-I 13 -g 2 -w 256 --thread-concurrency 8192,http://imgur.com/bUicPyN
AMD GPU,"7970, GV-R797OC-3GD",750,1085,1500,1.170 ?,,cgminer 2.11.2,-I 13 -g 2 -w 256 --shaders 2048,"70C, Catalyst 13.1"
AMD GPU,"7970, GV-R797OC-3GD",751,1082,1498,1.170 Y,,cgminer 3.1.1,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 7 x64, 68C, Catalyst 13.11 Beta9.2, i5-3570k @ 4.5GHz, MSI z77a G45, 8GB RAM, F72 firmware"
AMD GPU,"7970, AX7970 3GBD5-2DHV3",757,1090,1500,,325,cgminer 3.7.2,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 7, 70C, i7-4930K"
AMD GPU,"7970, GV-R7970C-3GD, Rev 2.1",760,1090,1500,1.170 Y,,cgminer 3.1.0,-I 13 -g 2 -w 256 --thread-concurrency 8192 --gpu-powertune 20,78.0C
AMD GPU,"7970, GV-R797TO-3GD",760,1100,1500,1.256 Y,,cgminer 3.5.0,-I 13 -g 2 -w 256 --thread-concurrency 8192 --gpu-powertune 20,"Windows 7 SP1, 75C, x16-x16 risers, F62 firmware"
AMD GPU,"7970, GV-R797TO-3GD",760,1085,1500,1.100 U,270,cgminer 3.4.0,-I 20 -g 1 -w 256 --thread-concurrency 24000,"BAMT 1.1c, 63C, Gigabyte GA-990FXA-UD3, AMD Sempron 145, 4GB RAM, powered x16-x16 risers, R797TO3D.F62 firmware"
AMD GPU,"7970, 21197-00",770,4000,1850,1.051 N,,cgminer 3.6.3,,"Windows 7, 55C, Catalyst 13.6, ASUS Crosshair V Formula, FX 8350 @ 4.0GHz, 2x 7970 reference, watercooled"
AMD GPU,"7970, R7970 Lightning BE",778,1150,1840,U,,cgminer 3.7.2,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Ubuntu 13.10 x64, 95C, Catalyst 13.1, ASRock Fatal1ty X79 Pro, i7-4820K"
AMD GPU,"7970, 11197-01-40G",780,1125,1875,1.170 N,270,cgminer 3.7.2,-I 13 -g 2 --thread-concurrency 8192,"Arch Linux, 73C, Catalyst 13.11, MSI K8N SLI Platinum, Athlon 64 3500+, 1GB RAM"
AMD GPU,"7990, CGAX-7999",1125,1075,1700,,,cgminer 2.11.4,-I 13 --thread-concurrency 14336,"84C, Catalyst 13.1, https://imageshack.us/scaled/large/607/proof7990.png"
AMD GPU,"7990, CGAX-7999",1150,1090,1725,,,cgminer 3.1.0,-I 13 -g 1 -W 256 --thread-concurrency 8192,"87C, Catalyst 13.1, http://img24.imageshack.us/img24/5343/imagetfc.jpg"
AMD GPU,"7990, GV-R799D5-6GD-B",1250,980,1350,1.050 N,,cgminer 3.4.0,-I 13 -g 2 -w 256 --thread-concurrency 14336 --gpu-powertune 20,"Windows 8, 70-80C, i5-2500k, ASUS P8P67"
AMD GPU,"7990, 102-C47601-00-AT",1325,1025,1500,1.075 N,,cgminer 3.4.0,-I 20 -g 1 --thread-concurrency 24000 --gpu-powertune 20,"Windows 7 2061, 66-79C, 6Z77-V DELUXE, 3770K, 16GB RAM (M379B5273DH0-YK0), 2 x 7990, CoolerMaster Sniper case, AX1200 PSU, 660-670kH/s per GPU, 113-C47601M0-101 firmware"
AMD GPU,"7990, R7990-6GD5",1344,965,1360,1.050 U,470,cgminer 3.7.2,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 7, 87C, Celeron G530"
AMD GPU,"7990, AX7990 6GBD5-M4DH",1363,,,N,490,cgminer 3.7.2,,"500GB HDD, RAMdrive, 80C, i7-4770K, 16GB RAM, 2x7990 @ 2721kH/s"
AMD GPU,"7990, HD7990-6GD5",1518,1100,1480,,,cgminer 3.2.2,-I 13 -g 2 -w 256 --thread-concurrency 8192 --gpu-powertune 10,"60C, Catalyst 13.9, FX-8320, 3x7990, watercooled"
AMD GPU,8570,86,780,900,1.15,,cgminer 3.7,,Windows 8.1
AMD GPU,"R7 260X, R7 260X 2GD5 OC",255,830,1800,,,cgminer 3.7.2,-I 17,
AMD GPU,"R9 270, GV-R927OC-2GD rev.1.0",450,1125,1500,,,cgminer 2.11.4,-I 17 -g 1 --thread-concurrency 12000,"63C, Catalyst 13.11, SDK 2.8, 945G7MD-8KS2H, Celeron 3.33GHz"
AMD GPU,"R9 270X, R9270X-DC2T-2GD5",417,980,1500,1.207 Y,,cgminer 3.7.2,-I 19 -g 1 -w 256 --thread-concurrency 16384,"Windows 7 x64, 71C, Catalyst 13.11 beta9.2, Phenom II x3 720, MA790X-UD4P, 4GB RAM"
AMD GPU,"R9 270X, 100364L",420,1000,1350,,,cgminer 3.5.0,-I 19 -w 256 --thread-concurrency 16000,"Windows 7 X64, 68C, Athlon II X4 631 @ 2.66 GHz, 4GB RAM, ASUS F1A55-M Le"
AMD GPU,"R9 270X, R9 270X GAMING 2G",430,1050,1500,1.163 ?,180,cgminer 3.7.2,-I 18 -g 1 -w 256 --thread-concurrency 15232 --gpu-powertune 20,"71C, Catalyst 13.11 LINUX Beta V9.4, FX-4100, M5A87, 16GB RAM"
AMD GPU,"R9 270X, R9270XD52GXOCV2",460,1080,1500,1.206,150,cgminer 3.7.2,-I 19 -g 1 -w 256 --thread-concurrency 15232,"69C@45%, BAMT v1.2, 2GB RAM, Kill-A-Watt"
AMD GPU,"R9 270X, GV-R927XOC-2GD",470,1115,1500,1.206 Y,185,cgminer 3.7.2,-I 19 -g 1 -w 512 --thread-concurrency 15232,"Windows 7 x64, 61C, Catalyst 13.11_betav9.4, GA-MA74GMT-S2 Rev. 1.4, Phenom II X 2 550, 4GB RAM"
AMD GPU,"R9 270X, XFX Double D R9-270X-CDFC",472,1140,1500,1.206 ?,,cgminer 3.7.2,-I 19 -g 1 -w 256 --thread-concurrency 14208 --gpu_powertune 20,"Windows 7 x64, 76C, Catalyst 13.11 Beta V9.5, i5 2500k @ 4.4GHz, 4GB RAM"
AMD GPU,"R9 270X, 100364L",476,1120,1500,Y,230,cgminer 3.7.2,-I 19 -w 256 --thread-concurrency 16k-21k,"windows 7 x64, Catalyst 13.11 betav9.2, SDK 2.7, 4GB RAM"
AMD GPU,"R9 280X, H280XQM3G2M",570,1100,1500,1.200 Y,320,cgminer 3.7.2,-I 13 -g2 -w 256 --thread-concurrency 8192,"Windows 7 x64, 72C, Catalyst 13.9"
AMD GPU,"R9 280X, 100363L",589,1020,1500,1.100 N,82,GUIMiner-scrypt v0.04,--thread-concurrency 14336,"70C, 015.039 firmware"
AMD GPU,"R9 280X, 100363VXSR",602,1130,1550,1.100 U,,cgminer 3.7.2,-I 13 --thread-concurrency 8192,"Windows 7 x64, 84C, P5E, Q9650, 6GB RAM, 2x280X"
AMD GPU,"R9 280X, H280XQMT3G2M",670,1050,1500,,,GUIMiner-scrypt v0.04,-I 20 -g 1 -w 256 --thread-concurrency 20992,"Windows 7, 78C, i7-3930k, ASUS X79 Sabertooth, Samsung 840 Evo 120GB, Silverstone Strider Gold 750W, 8GB RAM"
AMD GPU,"R9 280X, GV-R928XOC-3GD",690,1100,1500,1.150 Y,,cgminer 3.7.2,-I 13 -g 2 -w 256 --shaders 2048,"83C, F31 firmware"
AMD GPU,"R9 280X, GV-R928XOC-3GD",690,1000,1500,1.250 N,250,cgminer 3.5.0,-I 13 -g 2 -w 256 --shaders 2048,"Windows 7 x64, 76C, EP35DS3, Core 2 Quad 9550, 8GB RAM, F11 firmware"
AMD GPU,"R9 280X, GV-R928XOC-3GD",695,1010,1495,1.200 N,,cgminer 3.7.2,-I 13 -g 2 -w 256 --thread-concurrency 8192 --gpu-powertune 20,"Windows 7 x64, 65C, ASUS P8P67 Pro, i7-2600k @ 3.4GHz, 8GB RAM"
AMD GPU,"R9 280X, 100363L",710,1020,1500,,,cgminer 3.7.2,-I 13 -g 2 -w 256 --shaders 2048,"Windows 7 x64, 4GB RAM"
AMD GPU,"R9 280X, R9-280X-TDFD",716,1020,1500,1.171 U,,cgminer 3.5.0,-I 13 -g 2 -w 256 --thread-concurrency 8192 --gpu-powertune 20,"Windows 7 x64, 70C, i5-3570k, b75mu3+, 8GM RAM"
AMD GPU,R9 280X 11221-02-40G,720,1040,1500,1.256 Y,300,cgminer 3.7.2,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 7 x64, 82c, Catalyst 13.11 BETA, 16GB RAM, i5-2600K"
AMD GPU,"R9 280X, DC2T-3GD5",720,1080,1500,1.200 ?,,cgminer 3.7.2,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 7 x64, 80C, Catalyst 13.11 beta 9.4, Phenom II X4 965 BE, ASUS Sabertooth 990FX R2.0, 16GB RAM, SSD"
AMD GPU,"R9 280X, G57-V101135-Y47 MSI",725,1080,1500,1.130 N,250,cgminer 3.7.2,-I 13 -g 2 -w 256 --thread-concurrency 8192 --gpu-powertune 20,"Windows 7, 71C, Catalyst 13.11 9.2beta, i5 3570k, Gigabyte Z77x D3H"
AMD GPU,"R9 280X, 100363L",730,1085,1700,Y,270,cgminer 3.7.2,-I 13 -g 2 -w 512 --thread-concurrency 8192 --gpu-powertune 20,"Windows 7 x64, 70C, Catalyst 13.11_betav9.4, FM2A88M Extreme 4+, A8-6600K, 8GB RAM"
AMD GPU,"R9 280X, 100363VXSR",730,1070,1550,,,cgminer 3.7.2,-I 13 -g 2 -w 256 --shaders 2048,"015.040.000.001 Windows 7 x64, 60C, C2D E6600, nVidia 680i motherboard, 4GB RAM"
AMD GPU,"R9 280X, 11221-02-40G",732,1080,1500,,250,cgminer 3.6.1,-I 13 -g 2 -w 256 --thread-concurrency 11200 --gpu-powertune -20,"Windows 7 X64, 71C, Catalyst Beta 13.11 x64, GA-990FXA-UD3, Sempron 190, 4GB RAM, U41 firmware"
AMD GPU,"R9 280X, H280XQM3G2M",733,1050,1500,1.080 N,,cgminer 3.1.1,-g 2 -w 256 -I 13 --thread-concurrency=8192 --gpu-engine=1050 --gpu-memclock=1500 --auto-fan --gpu-powertune=1,"Ubuntu, 80C, x1 powered"
AMD GPU,R9 280X 11221-00-40G,740,1080,1500,1.200 Y,330,cgminer 3.7.2,--thread-concurrency 11200,"Windows 7 x64, 72C, Catalyst 13.11beta9.4, SDK 2.9, ASROCK 970 Extreme4, Sempron 145, 8GB RAM, SSD"
AMD GPU,"R9 280X, 11221-02-40G",745,1050,1500,,,cgminer 3.7.2,-I 13 -g 2 --thread-concurrency 8192,"Xubuntu 13.10, 63C, 3.11.0-12-generic, ASRock 970 Extreme4, Sempron 145, 8GB RAM, SanDisk ReadyCache 32GB"
AMD GPU,"R9 280X, 11221-02-40G",751,1050,1500,1.065 N,,GUIMiner-scrypt,-I 13 -g 2 -w 256 --thread-concurrency 11200,"Windows7 x64, 72C, ASUS P5B, Core 2 Duo 6300 @ 3.2 GHz, 8GB RAM"
AMD GPU,"R9 280X, 11221-00-20G",752,1070,1500,1.200 N,300,cgminer 3.7.2,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 7, 71C, i5-4670K, 8GB RAM, x16-x16 risers"
AMD GPU,"R9 280X, GV-R928XOC-3GD",766,1100,1500,1.150 Y,300,cgminer 3.5.0,-I 13 -g 2 -w 256 --shaders 2048,"Windows 8.1, 73C, MSI-G45"
AMD GPU,"R9 280X, MATRIX-R9280X-P-3GD5",780,1150,1800,,,cgminer 3.7.2,,"Windows 7 x64, 83C"
AMD GPU,"R9 280X, MATRIX-R9280X-P-3GD5",815,1160,1800,1.256 ?,,cgminer 3.2.2,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 7, 64C, Catalyst 13.11 beta, FX-8350, GA-990XA-UD3, 4GB RAM, x1-x1 risers"
AMD GPU,"R9 280X, GV-R928XOC-3GD",740,1100,1500,1.150 N,300,cgminer 3.5.0,-I 13 -g 2 -w 256 --shaders 2048,"Windows 7, 78C, R928XO3D.F11 firmware"
AMD GPU,"R9 280X, H280XQM3G2M",740,1080,1500,,220,cgminer 3.7.2,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 7, 59C, FX-8350, Sabertooth 990FX"
AMD GPU,"R9 280X, 100363VXSR",760,1080,1500,1.130 U,250,GUIMiner-scrypt v0.02,-I 13 -g 2 --thread-concurrency 8192,"Windows 7, 69C, Catalyst 13.11 beta"
AMD GPU,"R9 280X, 100363VXSR",760,1080,1500,1.256 Y,300,bfgminer 3.0.99,-I 13 -g 2 -w 256 --shaders 2048,"7systems IT Ltd custom Lubuntu build, 62C"
AMD GPU,"R9 280X, R9280XGAMING3G",760,1100,1500,1.200 ?,,cgminer 3.7.2,-g 2 -w 256 --thread-concurrency 24000,"Xubuntu 13.10, 76C"
AMD GPU,"R9 280X, R9280X-DC2-3GD5",770,1100,,1.250 N,280,GUIMiner-scrypt,-I 13 -g 2 -w 256 --thread-concurrency 8192,80C
AMD GPU,"R9 290, 100362SR",748,947,1250,Y,,cgminer 3.7.2,-I 20 -w 512 -lookup-gap 2 -g 1 --gpu-fan 50,"windows 8.1, 60C, Catalyst 13.11 9.4beta, ASUS Sabertooth 990x rev 1, FX-8320"
AMD GPU,"R9 290, 100362SR",770,947,1250,Y,300,cgminer 3.6.6,-I 20,77C
AMD GPU,"R9 290, 21227-00-40G",804,947,1250,,,GUIMiner-scrypt alpha,I,"Windows 7 x64, 95c, ASUS P9-X79, Corsair 850X, i7"
AMD GPU,"R9 290, GV-R929D5-4GD-B",817,1000,1500,1.100 Y,233,cgminer 3.7.2,-I 20 --thread-concurrency 20480 --gpu-threads 2,"Windows 7x64, 70C, Catalyst 13.11b, Athlon A4 4000, 4GB RAM, 530W system, 2xR9 290"
AMD GPU,"R9 290, 100362SR",818,1042,1500,1.125 Y,220,cgminer 3.7.2,-I 20 -g 1 -w 256 --thread-concurrency 35960,"Windows 7 x64, 71C, i7-2600k, watercooled"
AMD GPU,"R9 290, GV-R929D5-4GD-B",830,1000,1250,N,300,cgminer 3.6.0,-I 19 -g 1 -w 512 --thread-concurrency 32765,"Windows 7, 92C, Catalyst 13.11 beta, FX-8320, 8GB RAM, Corsair TX750W, 290X firmware"
AMD GPU,"R9 290, 100362SR",880,1000,1500,Y,395,cgminer 3.7.2,-I 20 -g 1 -w 512 --thread-concurrency 24550 --gpu-powertune 20,"Windows 8.1, 77C, Catalyst 13.11 Beta v9.4, MSI Z77A-GD65, x1-x16 risers, L41 firmware"
AMD GPU,"R9 290, 100362SR",882,1000,1499,Y,,cgminer 3.7.2,-I 20 -g20 -thread-concurrency 24000,"Debian 8 Jessie, AMD Catalyst 13.11 Beta, 4GB RAM, Proof: http://rockymountainminers.com/proof/290-001.png"
AMD GPU,"R9 290X, H290XF4GD",730,1000,1250,U,300,cgminer 3.7.2,-I 20,"Windows 7 x64, 77C, FX-8350, GA-990FXA-UD3, Corsair CX 750M, X16 risers"
AMD GPU,"R9 290X, 100361SR",830,875,1375,,,cgminer 3.7.0,-I 20 -w 512 --thread-concurrency 24000 -g 2,"Windows 7 64, Catalyst 13.11beta3, 51C, Watercooled"
AMD GPU,"R9 290X, 100361SR",880,929,1500,,,cgminer 3.7.0,,93C
AMD GPU,"R9 290X, 100361BF4SR",882,950,1500,1.250 Y,470,cgminer 3.7.2,-I 20 -g 2,"Windows 7 x64, Catalyst 13.11 beta 9.2, SDK 2.9, Asus P5N-T Deluxe, Core 2 Duo Q6600"
AMD GPU,"R9 290X, R9-290X-ENFC",884,920,1500,Y,325,cgminer 3.7.2,-I 20 -g 1 -w 512 --thread-concurrency 32765,"Windows 7, 82C, Catalyst 13.11 Beta 9.2, i5-4670K, ASUS Z87-PRO, Corsair HX-1000, waterblock drops power usage to 271 watts"
AMD GPU,"R9 290X, 100361BF4SR",980,1025,1500,Y,,cgminer 3.7.2,-I 20 -w 256 --thread-concurrency 32765,"Debian 8 Jessie, 65-66C, Catalyst 13.11 Beta 9.4, A6-6400K, ASUS A88X-PRO, Water-cooled system, Proof: http://rockymountainminers.com/proof/290x-001.png"
AMD GPU,"R9 290X, 100361SR",990,900,1350,,300,bfgminer 3.6.0,-I 20 -g 1 --thread-concurrency 32765,"Windows 8.1, 90C"
AMD GPU,"R9 290X, TRI-X OC 100361-2SR",1002,1025,1500,,385,sgminer 4.0.0,-I 23 -w 256 --thread-concurrency 32765,"Debian 7 Wheezy, 79C, Catalyst 13.11 Beta 9.95, Proof: http://rockymountainminers.com/proof/prospector1000.png"
NVIDIA GPU,"8500 GT, Zotac",2.37,459,800,,,cudaMiner 2013-11-01,#NAAM?,Gentoo Linux
NVIDIA GPU,"8800 GT 512MB, EVGA",12.25,600,900,,,cudaMiner 2013-12-07 x64,-H 1 (L27x3),"Windows 7 x64, 62C, x2 4400+, A8N32-SLI Deluxe, 3GB RAM, G92, 112 core, 256-bit bus"
NVIDIA GPU,9500 GT,7.5,,,,,cudaMiner 2013-04-04,,
NVIDIA GPU,9600 GT,22.5,650,900,1.100 Y,,cudaMiner 2013-10-10,-H 1 -d 0 -i 1 -l S8x4 -C 1 -m 1,"Windows XP, 61C, G94 core"
NVIDIA GPU,"9800 GT, ELSA",41.5,685,980,1.000 ?,,cudaMiner-2013-10-10,-l auto -d 0,"Windows XP, E2220"
NVIDIA GPU,9800 GTX,2,,,,,BFGMiner,,
NVIDIA GPU,9800 GTX,19,,,,,cudaMiner 2013-04-06,,
NVIDIA GPU,GTX 260,43,,,,,cudaMiner 2013-04-06,-l 54x3,http://img600.imageshack.us/img600/7276/autotune.png
NVIDIA GPU,GT 440,18.5,810,900,,,cudaMiner 2013-04-06,,
NVIDIA GPU,GT 440,36,900,1000,,,cudaMiner 2013-04-12,-l 12x2,
NVIDIA GPU,GT 520,9,,,,,cudaMiner 2013-04-04,,https://bitcointalk.org/index.php?topic=167229.msg1744139#msg1744139
NVIDIA GPU,GT 520,20,930,810,,25,cudaMiner 2013-04-17,-C 2 -i 0,http://i.imgur.com/zSDPP1a.png
NVIDIA GPU,"GT 630, Zotac",37,912,740,Y,,cudaMiner,,"Windows 7 x64, 63C, 331.65 driver, HP XW8400, 16GB RAM, dual Xeon E5440"
NVIDIA GPU,GT 640,40,,,,,cudaMiner 2013-04-22,-l 82x2 -C 2 -i 0,"4GB DDR3, 128-bit bus"
NVIDIA GPU,GTX 260 Core 216,46,,,,,cudaMiner 2013-04-10,#NAAM?,
NVIDIA GPU,GTX 275,94,633,1134,,,cudaMiner 2013-04-10,-i 0 -d 0,proof image
NVIDIA GPU,GTX 285,43,680,1250,,,Reaper v13 Beta,aggression 14,
NVIDIA GPU,GTS 450,34,783,1804,,106,cgminer 2.11.4,-I 12,Windows 7 x86
NVIDIA GPU,GTS 450,76,958,1704,,,cudaMiner 2013-04-14,-l 43x4,
NVIDIA GPU,GTS 450,82,940,1900,1.10 N,,cudaMiner 2013-11-20 x64,-l F24x8 -i 0 -C 2 -H 1,"Windows 7 x64, 72C"
NVIDIA GPU,"GTX 460, Point of View 768MB",98,1350,1800,,,cudaminer 2013-10-10,-i 0,"Windows 7 x64, Athlon 64 X2 6000"
NVIDIA GPU,GTX 460,110,780,1800,,,cudaMiner 4-30-13,,
NVIDIA GPU,"GTX 460, EVGA 10DE-0E22",120,830,1800,,,cudaMiner 2013-07-13,-d 0 -i 0 -l 28x8 -C 2,"Windows 7 x64, 75C, driver 320.18"
NVIDIA GPU,"GTX 465, Gigabyte",120,608,802,0.887 ?,,cudaminer-2013-11-15,cudaMiner --no-autotune -C 1,windows 7 x64
NVIDIA GPU,GTX 470,150,830,851,,,cudaMiner 2013-04-09,,http://imm.io/12st5
NVIDIA GPU,"GTX 470, EVGA",200,800,900,,,cudaMiner-2013-11-15,-H 1 -i 0,"Windows 7 x64, 94C, G41, Q6600, 8GB RAM"
NVIDIA GPU,"GTX 480, EVGA",81,700,1100,1.050 U,250,GUIMiner-scrypt,-i 14 w-256,"Windows 7 x64, 83C"
NVIDIA GPU,"GTX 480, ASUS",245,775,2000,1.075 ?,,cudaMiner-2013-11-20,-t 1 -H 1 -d 0 -i 0 -l F14x16 -C 1,"Windows 7 x64, 57C , 310.90 driver, watercooled"
NVIDIA GPU,GTX 550 Ti,44,911,,,,Reaper v13 Beta 4,aggression 14 worksize 160 sharethreads 8 gpu_thread_concurrency 2047,
NVIDIA GPU,"GTX 550 Ti, N550GTX-Ti-MD1GD5",71,925,2150,Y,,cudaMiner-2013-11-01,auto,"Windows 7 x64, 79C, 331.65, Intel G840"
NVIDIA GPU,GTX 555,74,736,1914,,,cudaMiner 2013-04-14,-l 12x6,
NVIDIA GPU,"GTX 560, MSI",116,,2002,,,cudaMiner 2013-10-10,-i auto -h 1,"Windows XP x64, 69C, Q6600"
NVIDIA GPU,"GTX 560, EVGA 2GB",128,975,2004,,,cudaMiner 2013-04-12,-l 168x2,
NVIDIA GPU,"GTX 560, GV-N56GOC-1GI",130,950,1800,,,cudaMiner 2013-04-14,-l 14x8,
NVIDIA GPU,"GTX 560, GV-N56GOC-1GI",130,950,830,,,cudaMiner 2013-04-14,-l 14x8,
NVIDIA GPU,GTX 560 SE,93,830,1914,,,cudaMiner 2013-04-12,,
NVIDIA GPU,"GTX 550 Ti, EVGA",78,1000,2200,1.100 ?,,cudaMiner 2013-11-01,-i 1 -l F16x8,"72C, i7-3770K"
NVIDIA GPU,"GTX 560 Ti SuperClocked, EVGA 1GB",144,900,2106,,,cudaMiner 2013-04-14,-l 32x4,
NVIDIA GPU,"GTX 560 Ti, GV-N560OC-1GI",148,900,2004,1.04,,cudaMiner 2013-11-20,-i 0 -l F16x8,"Windows 7 x64, 74C, i3 2100 @ 3.10GHz, 8GB RAM"
NVIDIA GPU,"GTX 560 Ti, N560GTX-TI Hawk",152,950,2100,1.300 U,,cudaMiner-2013-11-15,f64x2,"Windows 7 x64, 68C, driver 331.65"
NVIDIA GPU,"GTX 560 Ti, N560GTX-Ti Twin Frozr II/OC",152,880,2100,,,cudaMiner,F16x8 -i 0,"Mac OS X 10.8.3/Unibeast, 84C, ASUS Sabertooth X79, i7-3820"
NVIDIA GPU,GTX 560 Ti,155,980,2400,,,cudaMiner 2013-10-10,-i 0,
NVIDIA GPU,"GTX 560 Ti, OEM 1GB",185,865,1900,,,cudaMiner 2013-04-22,-l 22x8,
NVIDIA GPU,"GTX 560 Ti 448 Cores LE, Zotac",218,,,,,cudaMiner 2013-04-22,-l 28x8 -C 2,
NVIDIA GPU,"GTX 560 Ti 448 Cores LE, NE5X564010DA-1101F",228,732,1900,,210,cudaMiner x64 custom,-C 1 -i 0 -H 1 -l F14x16,"Windows 7 x64, 0.988v, 74C, Gigabyte G41MT-S2P, Core2Quad Q6600, 4x2GB RAM"
NVIDIA GPU,"GTX 560 Ti 448 Cores LE, Zotac",257,860,2100,Y,,cudaMiner 2013-10-10,-t 1 -H 1 -d 0 -i 0 -l F14x16 -C 1,"Windows 8 x64, 70C"
NVIDIA GPU,"GTX 560 Ti 448 Cores LE, NE5X564010DA-1101F",260,861,2160,,210,cudaMiner x64 custom,-C 1 -i 0 -H 1 -l F14x16,"Windows 7 x64, 78C, Gigabyte G41MT-S2P, Core2Quad Q6600, 4x2GB RAM"
NVIDIA GPU,"GTX 570, EVGA",140,910,2100,1.025 ?,,cudaMiner 2013-04-04,autotune,"Windows 7 x64, 70C, i7-2600K @ 3.8, 16GB RAM, bitcointalk post"
NVIDIA GPU,"GTX 570, Zotac",190,732,950,,,cudaMiner 2013-11-20 x86,-H 1,"Windows 7, 88C"
NVIDIA GPU,"GTX 570, ENGTX570 DCII/2DIS/1280MD5",201,742,1900,1.000 N,220,cudaMiner 2013-11-20,auto-tuning,"Windows 7, 65C, ASUS Maximus IV, i7-2600K @ 3.4GHz"
NVIDIA GPU,"GTX 570, Gigabyte",220,780,1900,,,cudaMiner 2013-12-07,-C 1,"Linux Mint 16 x64, 319.32 driver"
NVIDIA GPU,"GTX 570, MSI",245,900,2000,1.05 ?,,cudaMiner,,
NVIDIA GPU,"GTX 570, EVGA",250,850,2100,1.025,,cudaMiner-2013-11-20,-t 1 -H 1 -d 0 -i 0 -l F14x16 -C 1,"Windows 7 x64, 310.90 driver, 70.10.17.00.74 (P1261-0005)"
NVIDIA GPU,GTX 580,230,911,2138,,,cudaMiner 2013-04-10,=l 32x7,http://i.imgur.com/6mZN0b8.png
NVIDIA GPU,"GTX 580, Asus",245,945,4300,,,cudaMiner 2013-11-20,Autotune,"Windows 8.1, 75C"
NVIDIA GPU,"GTX 580, MSI Twin Frozr OC",250,930,2300,,,cudaMiner 2013-04-10,,
NVIDIA GPU,"GTX 580, Gigabyte",250,795,2004,,,mvlddmkm 9.18.13.2723,-l 32x7,
NVIDIA GPU,"GTX 590, MSI",210,607,3414,,,cudaMiner-2013-11-20,-H 1 -d 0 -i 0 -l F16x16 -C -m 1,i7-3930k
NVIDIA GPU,"GT 640, GT640-DCSL-2GD3",25,1046,1982,,65,"GUIMiner-scrypt 0.03, cgminer",-I 14 -w 128,Modified 7770 preset
NVIDIA GPU,"GT 640, GT-640-1GD5-L",56,,,,,cudaMiner 2013-10-10,-i 0 -C 2 -l K41x4,Windows 7 x64
NVIDIA GPU,"GTX 650, ASUS",64,1300,5500,1.137 U,,cudaMiner 2013-11-20,d 0 -i 0 -l K12x16 -C 1 -H 1,Windows 7 x86
